,SSM_IS,SSM_LSM,SIG40,SLOPE,CURVE,sigf,sigm,siga,incf,incm,inca
2010-05-23 02:13:07.499986,0.254,0.27562999725341797,-8.08595,-0.08252679,-0.0020987082,-8.12462,-8.089541,-8.04369,45.273026,34.77545,45.234142
2010-05-24 15:52:41.250002,0.233,0.26864999771118164,-8.626269,-0.08268143,-0.0021394072,-8.585276,-8.687101,-8.60643,52.13752,41.177193,52.243362
2010-05-25 03:11:44.999998,0.232,0.26597999572753905,-7.823853,-0.08282543,-0.0021743393,-7.7140317,-7.831179,-7.926348,61.713505,50.288242,61.63183
2010-05-27 14:50:33.750003,0.26,0.26138999938964846,-8.20549,-0.08302721,-0.0022368622,-8.293103,-7.9813457,-8.342021,59.848988,48.47636,59.871998
2010-05-28 02:09:35.625014,0.27,0.2954599952697754,-8.502621,-0.08312079,-0.002268122,-8.555787,-8.2017565,-8.7503195,49.867004,38.976437,49.817215
2010-05-29 15:49:11.249009,0.263,0.2988100051879883,-8.415798,-0.08323523,-0.0022994159,-8.287311,-8.399791,-8.560294,47.88249,37.1956,47.971497
2010-05-30 03:08:13.124020,0.253,0.28485000610351563,-8.438615,-0.08335451,-0.002319111,-8.281354,-8.596182,-8.43831,58.430305,47.0259,58.345974
2010-05-31 15:07:48.749016,0.295,0.3116200065612793,-7.3491015,-0.08352727,-0.0023303505,-7.2703214,-7.3218064,-7.455177,37.49711,28.123009,37.49267
2010-06-01 14:47:01.874991,0.31,0.29048999786376956,-8.041262,-0.08368761,-0.0023393312,-8.059299,-8.061968,-8.002518,62.978027,51.617603,62.993977
2010-06-02 02:06:05.624986,0.301,0.33867000579833983,-8.151181,-0.083796196,-0.0023490211,-8.135628,-8.021148,-8.296769,53.922447,42.80682,53.87094
2010-06-03 15:45:41.249987,0.294,0.2981100082397461,-8.092832,-0.083905235,-0.0023564214,-8.168747,-7.89317,-8.2165785,43.020138,32.851692,43.10453
2010-06-04 03:04:39.374988,0.28,0.2879000091552734,-8.241461,-0.08401474,-0.0023583183,-8.361192,-8.087542,-8.275648,54.743015,43.449863,54.65561
2010-06-05 15:04:16.875009,0.269,0.2834499931335449,-8.148908,-0.08414925,-0.0023540524,-8.24403,-8.081297,-8.121397,43.132034,32.90159,43.13503
2010-06-07 02:02:33.750014,0.252,0.28284999847412107,-8.038199,-0.084510066,-0.0023400802,-7.9899693,-7.8513646,-8.273265,57.481346,46.28223,57.429455
2010-06-07 16:02:46.875001,0.251,0.28566999435424806,-8.402759,-0.084510066,-0.0023400802,-8.433258,-8.364209,-8.410808,62.102932,51.030178,62.240498
2010-06-08 15:42:09.374009,0.231,0.27516000747680663,-8.306718,-0.08459604,-0.002340293,-8.362604,-8.112824,-8.444724,37.574776,28.164192,37.63663
2010-06-09 03:01:07.500016,0.216,0.2705299949645996,-8.372834,-0.0846979,-0.0023389556,-8.440953,-8.270299,-8.407252,50.61107,39.56283,50.52775
2010-06-10 15:00:43.125012,0.204,0.27969999313354493,-8.071239,-0.08477216,-0.0023374618,-8.113978,-8.105064,-7.994674,48.18099,37.376217,48.184948
2010-06-12 01:59:03.749986,0.202,0.2690200042724609,-7.9902625,-0.08499214,-0.0023258238,-8.198552,-7.660734,-8.111502,60.667774,49.465546,60.601772
