,SSM_IS,TAU,SIG40
2007-11-13 11:37:52.499012,0.0362,0.42386296,-13.546638
2007-11-13 22:56:41.249009,0.0371,0.42386296,-13.707909
2007-11-14 22:36:05.625013,0.0317,0.42349622,-13.29805
2007-11-15 12:36:28.125005,0.023,0.42312935,-13.763915
2007-11-15 23:55:22.498990,0.026,0.42312935,-13.887385
2007-11-16 23:34:35.625005,0.0204,0.42267182,-14.187553
2007-11-18 11:34:22.499991,0.0121,0.42164072,-13.625947
2007-11-18 22:53:13.125012,0.0131,0.42164072,-14.074455
2007-11-20 12:33:00.000002,0.0055,0.4206464,-13.865649
2007-11-20 23:51:52.500008,0.0075,0.4206464,-14.030136
2007-11-23 11:30:52.500003,0.2094,0.41910142,-12.590091
2007-11-23 22:49:45.000009,0.1969,0.41910142,-12.417663
2007-11-25 12:29:31.874999,0.1674,0.4181757,-12.359226
2007-11-25 23:48:22.500021,0.1659,0.4181757,-13.149182
2007-12-19 12:32:45.000003,0.1861,0.41944012,-13.228036
2007-12-19 23:51:37.500009,0.256,0.41944012,-10.499279
2008-01-20 11:30:18.749995,0.2663,0.42362434,-11.051358
2008-01-20 22:49:09.374976,0.2547,0.42362434,-11.095886
2008-01-22 12:28:54.374016,0.2532,0.42331052,-11.996227
2008-01-22 23:47:45.000003,0.2443,0.42331052,-12.360002
2008-01-24 11:47:31.874023,0.2177,0.4229605,-12.290198
2008-01-25 11:26:46.875023,0.2057,0.42283434,-12.566898
2008-01-25 22:45:39.374023,0.2018,0.42283434,-12.750558
2008-01-27 12:25:24.374994,0.1882,0.42250627,-13.11365
2008-01-27 23:44:13.124991,0.186,0.42250627,-12.930287
2008-01-29 11:44:01.875001,0.1699,0.42206374,-13.111524
2008-01-30 22:42:09.375001,0.159,0.42172188,-12.742859
2008-01-31 12:42:31.874993,0.1572,0.4214204,-12.270997
2008-02-01 12:21:54.375007,0.1507,0.4211576,-13.199562
2008-02-01 23:40:43.125003,0.1489,0.4211576,-13.276969
2008-02-03 11:40:29.999023,0.306,0.4207559,-9.2983055
2008-02-04 22:38:39.375014,0.2411,0.42068928,-11.559733
2008-02-05 12:39:01.875006,0.2226,0.42060098,-11.749761
2008-02-06 23:37:11.249991,0.208,0.42055604,-11.849335
2008-02-08 11:36:58.124976,0.189,0.42055988,-12.692902
2008-02-08 22:55:46.875013,0.1878,0.42055988,-12.496327
2008-02-09 22:35:11.249005,0.178,0.42059854,-12.473632
2008-02-10 12:35:33.750003,0.1712,0.42070138,-12.618169
2008-02-10 23:54:26.250009,0.1724,0.42070138,-12.598329
2008-02-11 23:33:39.374012,0.1712,0.42072296,-11.147888
2008-02-13 11:33:28.124023,0.1738,0.42081353,-11.826218
2008-02-13 22:52:16.874020,0.1692,0.42081353,-12.075833
2008-02-15 12:32:03.750016,0.1438,0.42110035,-12.354518
2008-02-15 23:50:54.374997,0.1413,0.42110035,-12.376422
2008-02-18 11:29:56.249976,0.0954,0.42143872,-12.286423
2008-02-18 22:48:46.874998,0.0957,0.42143872,-12.743724
2008-02-20 12:28:33.749988,0.078,0.42173645,-12.865588
2008-02-20 23:47:24.375009,0.0797,0.42173645,-12.827653
2008-02-22 11:47:11.249995,0.0695,0.42202765,-13.230281
2008-02-23 11:26:24.373998,0.0613,0.42217353,-12.928412
2008-02-23 22:45:16.875010,0.0634,0.42217353,-13.282951
2008-02-25 12:25:03.748995,0.0494,0.42233947,-13.265229
2008-02-25 23:43:52.499997,0.0525,0.42233947,-13.078856
2008-02-27 11:43:39.375023,0.0412,0.42241377,-13.578098
2008-02-28 22:41:46.875023,0.0368,0.42234108,-13.436963
2008-02-29 12:42:09.374009,0.029,0.4221778,-13.054829
2008-03-01 12:21:31.874988,0.0227,0.42197365,-13.660876
2008-03-01 23:40:20.625025,0.028,0.42197365,-13.852287
2008-03-03 11:40:07.500010,0.0152,0.4216121,-13.4979315
2008-03-04 22:38:16.874995,0.0155,0.4213982,-13.236148
2008-03-05 12:38:39.374987,0.0078,0.4211452,-13.224857
2008-03-06 23:36:48.750012,0.0099,0.42087188,-13.867208
2008-03-08 11:36:35.624998,0.0033,0.4202334,-13.699829
2008-03-09 22:34:46.874002,0.005,0.41987726,-13.447984
2008-03-10 12:35:09.374999,0.0017,0.41952267,-13.545802
2008-03-10 23:54:03.749991,0.0051,0.41952267,-13.76604
2008-03-11 23:33:16.874999,0.0077,0.41910753,-13.742134
2008-03-13 11:33:03.749020,0.0026,0.41835308,-13.729202
2008-03-13 22:51:52.499016,0.0049,0.41835308,-14.002849
2008-03-15 12:31:39.375012,0.0013,0.41769773,-13.645241
2008-03-15 23:50:31.874012,0.0029,0.41769773,-13.804668
2008-03-18 11:29:31.875013,0.0004,0.4168151,-13.747628
2008-03-18 22:48:22.499994,0.0003,0.4168151,-14.090526
2008-03-25 12:24:37.500012,0.0831,0.41536862,-10.607901
2008-03-25 23:43:26.250008,0.0778,0.41536862,-11.97264
2008-03-27 11:43:13.124994,0.0567,0.41510975,-13.751458
2008-03-28 22:41:20.624994,0.0429,0.41507694,-14.263949
2008-03-29 12:41:43.124986,0.037,0.41507715,-13.950105
2008-03-30 12:21:06.561989,0.0307,0.41504964,-14.441752
2008-03-30 23:39:54.373990,0.0323,0.41504964,-14.339427
2008-04-01 11:39:41.249016,0.0203,0.41509864,-14.376382
2008-04-02 22:37:50.625007,0.0161,0.41516078,-13.501076
2008-04-03 12:38:13.124999,0.0128,0.41524568,-14.17982
2008-04-04 23:36:20.624999,0.0146,0.41532278,-14.40623
2008-04-06 11:36:09.375009,0.0079,0.41553867,-14.39283
2008-04-06 22:54:56.250021,0.0082,0.41553867,-14.526895
2008-04-07 22:34:20.625019,0.006,0.41574305,-14.082326
2008-04-09 23:32:48.749986,0.0055,0.41584244,-14.714249
2008-04-11 11:32:39.374016,0.0001,0.4156498,-14.276874
2008-04-11 22:51:30.000003,0.0007,0.4156498,-14.648583
2008-04-13 12:31:18.749012,0.0012,0.41529953,-14.293687
2008-04-13 23:50:11.250025,0.0033,0.41529953,-14.166721
2008-04-16 11:29:18.749999,0.0016,0.41461402,-14.285737
2008-04-16 22:48:09.374980,0.0006,0.41461402,-14.668739
2008-04-18 12:27:58.124995,0.0013,0.41399053,-14.718526
2008-04-18 23:46:50.625001,0.0012,0.41399053,-14.578041
2008-04-20 11:46:39.375012,0.0007,0.41332594,-15.067666
2008-04-21 11:25:56.249991,0.0018,0.41303158,-14.277641
2008-04-21 22:44:48.749997,0.001,0.41303158,-14.722545
2008-04-26 22:41:28.125014,0.0007,0.4115199,-14.12918
2008-04-27 12:41:52.499991,0.0099,0.41116145,-10.996795
2008-04-28 12:21:16.874023,0.039,0.41081452,-12.287667
2008-05-10 22:52:00.000001,0.0348,0.40593833,-14.322841
2008-05-12 12:31:48.749976,0.0243,0.40534896,-14.101649
2008-05-12 23:50:41.250023,0.0273,0.40534896,-14.048744
2008-05-15 11:29:46.875012,0.0242,0.40442926,-14.329289
2008-05-15 22:48:37.499993,0.0312,0.40442926,-12.123329
2008-05-17 12:28:26.250008,0.0416,0.40384862,-11.462475
2008-05-17 23:47:16.874990,0.044,0.40384862,-12.020144
2008-05-19 11:47:07.499020,0.0492,0.40333685,-11.350982
2008-05-20 11:26:22.500019,0.0518,0.4029668,-12.001252
2008-05-20 22:45:16.875010,0.0525,0.4029668,-11.894093
2008-05-22 12:25:03.750000,0.0519,0.4021891,-13.426133
2008-05-22 23:43:54.374016,0.051,0.4021891,-13.477742
2008-05-24 11:43:43.123987,0.0511,0.4014173,-14.046379
2008-05-25 22:41:54.375002,0.052,0.40102962,-13.587207
2008-05-26 12:42:16.874994,0.0505,0.40064302,-13.462105
2008-05-27 12:21:41.248987,0.0499,0.4002469,-14.2452965
2008-05-27 23:40:29.999023,0.0504,0.4002469,-14.180405
2008-05-29 11:40:20.625025,0.0474,0.3995244,-14.462323
2008-05-30 22:38:31.874994,0.0442,0.39917246,-13.917928
2008-05-31 12:38:56.249005,0.0454,0.398846,-13.924405
2008-06-01 23:37:07.500021,0.0474,0.39845824,-14.601098
2008-06-03 11:36:56.249991,0.048,0.39789978,-11.381779
2008-06-03 22:55:44.999988,0.0474,0.39789978,-11.475766
2008-06-04 22:35:11.249005,0.0466,0.39762577,-13.1957655
2008-06-05 12:35:33.750003,0.0437,0.39737174,-13.769004
2008-06-06 23:33:44.061977,0.044,0.39701438,-14.268373
2008-06-08 11:33:33.749983,0.0454,0.3965029,-13.975116
2008-06-08 22:52:22.499980,0.0441,0.3965029,-14.310344
2008-06-10 12:32:11.249995,0.0793,0.3960402,-11.148963
2008-06-10 23:51:03.750001,0.0833,0.3960402,-11.884082
2008-06-13 11:30:09.374991,0.083,0.39526522,-12.193542
2008-06-13 22:49:00.000012,0.0807,0.39526522,-12.500405
2008-06-15 12:28:48.749987,0.0787,0.39488518,-13.360759
2008-06-15 23:47:39.375008,0.0786,0.39488518,-13.181587
2008-06-17 11:47:29.998998,0.0752,0.3945355,-13.7457075
