,SSM_IS,TAU,SIG40
2010-05-01 03:08:52.499988,0.259,0.4216159,-8.84253
2010-05-02 15:08:11.250000,0.415,0.42247906,-8.691159
2010-05-03 02:27:28.125010,0.423,0.42339736,-8.04227
2010-05-04 02:06:50.624983,0.423,0.4241515,-8.902927
2010-05-04 16:06:45.000002,0.386,0.4241515,-8.832566
2010-05-06 03:05:20.625016,0.338,0.4251275,-8.894916
2010-05-07 15:04:39.374988,0.317,0.4255741,-9.041505
2010-05-08 02:23:58.125023,0.289,0.42591405,-8.649209
2010-05-09 16:03:14.999009,0.264,0.4260688,-9.710782
2010-05-10 03:22:35.624994,0.251,0.4259871,-9.666728
2010-05-11 03:01:50.624988,0.251,0.42592996,-9.02385
2010-05-12 15:01:07.500016,0.252,0.4258007,-9.200131
2010-05-13 02:20:26.250010,0.243,0.42563623,-9.118076
2010-05-14 15:59:44.999987,0.228,0.4253738,-9.145757
2010-05-15 03:19:03.749016,0.221,0.42492396,-8.684485
2010-05-16 15:18:20.625009,0.227,0.42444366,-8.347783
2010-05-17 14:57:35.625003,0.383,0.42383868,-8.353368
2010-05-18 02:16:56.250023,0.391,0.4232399,-8.656074
2010-05-19 15:56:13.124009,0.361,0.42280167,-9.265458
2010-05-20 03:15:31.875009,0.357,0.4221893,-9.227415
2010-05-21 15:14:50.624016,0.393,0.42143327,-8.795741
2010-05-23 02:13:26.249995,0.357,0.41991922,-9.205791
2010-05-23 16:13:20.625014,0.358,0.41991922,-8.891982
2010-05-24 15:52:43.124987,0.337,0.4191991,-8.88185
2010-05-25 03:12:00.000000,0.317,0.4185615,-8.952722
2010-05-26 15:11:16.875025,0.298,0.4179518,-9.046253
2010-05-28 02:09:56.250008,0.27,0.41677868,-8.752545
2010-05-28 16:09:50.624986,0.275,0.41677868,-8.980257
2010-05-30 03:08:28.125025,0.264,0.4156951,-8.663171
2010-05-31 15:07:45.000012,0.284,0.4152506,-8.666354
2010-06-01 02:27:01.874016,0.295,0.41485155,-8.125633
2010-06-02 02:06:24.374995,0.321,0.41442046,-9.034641
